Category,Mohave
Total_doses_administered,151694
Total_people_one_dose,87276
Total_people_complete,72035
Total_doses_ordered,126950
total_pouluation,216985
Male-65 years and older,21291
Male-55-64 years,8253
Male-45-54 years,4169
Male-20-44 years,6884
Male-Less than 20 years,1102
Female-65 years and older,23732
Female-55-64 years,9642
Female-45-54 years,4434
Female-20-44 years,6350
Female-Less than 20 years,1264
"Black or African American, non-Hispanic",595
"American Indian or Alaska Native, non-Hispanic",874
"Asian or Pacific Islander, non-Hispanic",1254
Hispanic or Latino,6011
Unknown,14805
Other Race,15654
"White, non-Hispanic",48083
