Category,Yuma
Total_doses_administered,205168
Total_people_one_dose,116087
Total_people_complete,98618
Total_doses_ordered,141758
total_pouluation,229957
Male-65 years and older,15791
Male-55-64 years,8687
Male-45-54 years,7555
Male-20-44 years,21466
Male-Less than 20 years,4345
Female-65 years and older,17856
Female-55-64 years,9169
Female-45-54 years,7803
Female-20-44 years,18412
Female-Less than 20 years,4665
"Black or African American, non-Hispanic",648
"Asian or Pacific Islander, non-Hispanic",706
"American Indian or Alaska Native, non-Hispanic",1517
Other Race,10329
"White, non-Hispanic",21112
Unknown,33059
Hispanic or Latino,48716
