Category,Apache
Total_doses_administered,31378
Total_people_one_dose,17571
Total_people_complete,11505
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1899
Male-55-64 years,1253
Male-45-54 years,959
Male-20-44 years,2256
Male-Less than 20 years,2345
Female-65 years and older,2008
Female-55-64 years,1388
Female-45-54 years,950
Female-20-44 years,2079
Female-Less than 20 years,2424
"Asian or Pacific Islander, non-Hispanic",161
"Black or African American, non-Hispanic",263
Unknown,983
Other Race,1186
Hispanic or Latino,1683
"White, non-Hispanic",3094
"American Indian or Alaska Native, non-Hispanic",10201
