Category,Yavapai
Total_doses_administered,186082
Total_people_one_dose,106639
Total_people_complete,89477
Total_doses_ordered,166680
total_pouluation,232386
Male-65 years and older,23716
Male-55-64 years,8362
Male-45-54 years,4779
Male-20-44 years,9245
Male-Less than 20 years,1852
Female-65 years and older,29600
Female-55-64 years,10726
Female-45-54 years,5569
Female-20-44 years,9402
Female-Less than 20 years,2078
"Black or African American, non-Hispanic",529
"American Indian or Alaska Native, non-Hispanic",1056
"Asian or Pacific Islander, non-Hispanic",1386
Hispanic or Latino,6481
Other Race,16356
Unknown,26981
"White, non-Hispanic",53850
