Category,Navajo
Total_doses_administered,110725
Total_people_one_dose,52237
Total_people_complete,41998
total_pouluation,52237
Male-65 years and older,7626
Male-55-64 years,3711
Male-45-54 years,2852
Male-20-44 years,6200
Male-Less than 20 years,4967
Female-65 years and older,8587
Female-55-64 years,4236
Female-45-54 years,2865
Female-20-44 years,6098
Female-Less than 20 years,5055
"Black or African American, non-Hispanic",216
"Asian or Pacific Islander, non-Hispanic",387
Unknown,2521
Hispanic or Latino,2740
Other Race,6482
"White, non-Hispanic",16597
"American Indian or Alaska Native, non-Hispanic",23294
