Category,Maricopa
Total_doses_administered,6107617
Total_people_one_dose,2773119
Total_people_complete,2364050
total_pouluation,2773119
Male-65 years and older,295184
Male-55-64 years,194553
Male-45-54 years,189283
Male-20-44 years,457942
Male-Less than 20 years,168773
Female-65 years and older,368846
Female-55-64 years,218630
Female-45-54 years,204951
Female-20-44 years,489906
Female-Less than 20 years,170764
"American Indian or Alaska Native, non-Hispanic",54526
"Black or African American, non-Hispanic",109365
"Asian or Pacific Islander, non-Hispanic",141785
Unknown,187248
Other Race,440391
Hispanic or Latino,482215
"White, non-Hispanic",1357589
