Category,La Paz
Total_doses_administered,19264
Total_people_one_dose,9327
Total_people_complete,7646
total_pouluation,9327
Male-65 years and older,2520
Male-55-64 years,654
Male-45-54 years,336
Male-20-44 years,709
Male-Less than 20 years,399
Female-65 years and older,2508
Female-55-64 years,770
Female-45-54 years,387
Female-20-44 years,632
Female-Less than 20 years,393
"Black or African American, non-Hispanic",44
"Asian or Pacific Islander, non-Hispanic",94
"American Indian or Alaska Native, non-Hispanic",557
Other Race,1222
Hispanic or Latino,1401
Unknown,1919
"White, non-Hispanic",4090
