Category,Mohave
Total_doses_administered,199647
Total_people_one_dose,94007
Total_people_complete,78468
total_pouluation,94007
Male-65 years and older,21776
Male-55-64 years,8526
Male-45-54 years,4453
Male-20-44 years,7933
Male-Less than 20 years,2020
Female-65 years and older,23816
Female-55-64 years,9856
Female-45-54 years,5014
Female-20-44 years,8179
Female-Less than 20 years,2253
"Black or African American, non-Hispanic",660
"American Indian or Alaska Native, non-Hispanic",790
"Asian or Pacific Islander, non-Hispanic",1455
Hispanic or Latino,7760
Unknown,11725
Other Race,14804
"White, non-Hispanic",56813
