Category,Coconino
Total_doses_administered,222239
Total_people_one_dose,98637
Total_people_complete,83610
total_pouluation,98637
Male-65 years and older,9684
Male-55-64 years,6529
Male-45-54 years,5973
Male-20-44 years,17854
Male-Less than 20 years,6793
Female-65 years and older,10889
Female-55-64 years,7296
Female-45-54 years,6022
Female-20-44 years,20284
Female-Less than 20 years,7037
"Black or African American, non-Hispanic",841
"Asian or Pacific Islander, non-Hispanic",1803
Hispanic or Latino,7804
Other Race,8970
Unknown,12279
"American Indian or Alaska Native, non-Hispanic",23747
"White, non-Hispanic",43193
