Category,Greenlee
Total_doses_administered,10106
Total_people_one_dose,4495
Total_people_complete,3881
total_pouluation,4495
Male-65 years and older,520
Male-55-64 years,383
Male-45-54 years,334
Male-20-44 years,808
Male-Less than 20 years,241
Female-65 years and older,523
Female-55-64 years,319
Female-45-54 years,334
Female-20-44 years,779
Female-Less than 20 years,252
"Asian or Pacific Islander, non-Hispanic",49
"Black or African American, non-Hispanic",53
Other Race,96
"American Indian or Alaska Native, non-Hispanic",128
Unknown,303
"White, non-Hispanic",1830
Hispanic or Latino,2036
