Category,Graham
Total_doses_administered,48653
Total_people_one_dose,22224
Total_people_complete,19162
total_pouluation,22224
Male-65 years and older,2456
Male-55-64 years,1623
Male-45-54 years,1485
Male-20-44 years,3736
Male-Less than 20 years,1419
Female-65 years and older,2962
Female-55-64 years,1756
Female-45-54 years,1451
Female-20-44 years,3789
Female-Less than 20 years,1535
"Asian or Pacific Islander, non-Hispanic",90
"Black or African American, non-Hispanic",98
Other Race,1331
Hispanic or Latino,4040
Unknown,4155
"American Indian or Alaska Native, non-Hispanic",5757
"White, non-Hispanic",6753
