Category,Pinal
Total_doses_administered,566838
Total_people_one_dose,265090
Total_people_complete,226416
total_pouluation,265090
Male-65 years and older,38415
Male-55-64 years,19042
Male-45-54 years,17446
Male-20-44 years,40217
Male-Less than 20 years,14523
Female-65 years and older,44077
Female-55-64 years,21516
Female-45-54 years,17813
Female-20-44 years,37051
Female-Less than 20 years,14249
"Asian or Pacific Islander, non-Hispanic",5506
"Black or African American, non-Hispanic",9851
"American Indian or Alaska Native, non-Hispanic",10593
Unknown,30801
Other Race,32266
Hispanic or Latino,43887
"White, non-Hispanic",132186
