Category,Santa Cruz
Total_doses_administered,125890
Total_people_one_dose,63082
Total_people_complete,46234
total_pouluation,63082
Male-65 years and older,4946
Male-55-64 years,3515
Male-45-54 years,3702
Male-20-44 years,9781
Male-Less than 20 years,8264
Female-65 years and older,6000
Female-55-64 years,3946
Female-45-54 years,4088
Female-20-44 years,10361
Female-Less than 20 years,8382
"American Indian or Alaska Native, non-Hispanic",58
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",193
Other Race,3679
Unknown,5273
"White, non-Hispanic",7997
Hispanic or Latino,45821
