Category,Yuma
Total_doses_administered,359273
Total_people_one_dose,174726
Total_people_complete,140997
total_pouluation,174726
Male-65 years and older,18179
Male-55-64 years,11343
Male-45-54 years,9878
Male-20-44 years,30988
Male-Less than 20 years,15269
Female-65 years and older,20756
Female-55-64 years,12145
Female-45-54 years,10836
Female-20-44 years,28916
Female-Less than 20 years,15705
"Black or African American, non-Hispanic",918
"American Indian or Alaska Native, non-Hispanic",1270
"Asian or Pacific Islander, non-Hispanic",1289
Other Race,21365
Unknown,30987
"White, non-Hispanic",37992
Hispanic or Latino,80905
