Category,Arizona
Total_doses_administered,10908323
Total_people_complete,4260477
total_pouluation,7189020
Total_people_one_dose,4987205
Male-65 years and older,594960
Male-55-64 years,345001
Male-45-54 years,313469
Male-20-44 years,792164
Male-Less than 20 years,319452
Female-65 years and older,721626
Female-55-64 years,391801
Female-45-54 years,337256
Female-20-44 years,827742
Female-Less than 20 years,323894
"Black or African American, non-Hispanic",154027
"Asian or Pacific Islander, non-Hispanic",191649
"American Indian or Alaska Native, non-Hispanic",225082
Unknown,449034
Other Race,694811
Hispanic or Latino,978666
"White, non-Hispanic",2293936
