Category,Cochise
Total_doses_administered,193377
Total_people_one_dose,91741
Total_people_complete,76133
total_pouluation,91741
Male-65 years and older,12081
Male-55-64 years,6031
Male-45-54 years,4845
Male-20-44 years,13105
Male-Less than 20 years,7351
Female-65 years and older,14104
Female-55-64 years,7127
Female-45-54 years,5451
Female-20-44 years,13899
Female-Less than 20 years,7640
"American Indian or Alaska Native, non-Hispanic",393
"Asian or Pacific Islander, non-Hispanic",1601
"Black or African American, non-Hispanic",1721
Unknown,11157
Other Race,12739
Hispanic or Latino,28786
"White, non-Hispanic",35344
