Category,Yavapai
Total_doses_administered,284929
Total_people_one_dose,129232
Total_people_complete,110009
total_pouluation,129232
Male-65 years and older,28604
Male-55-64 years,10085
Male-45-54 years,5528
Male-20-44 years,11392
Male-Less than 20 years,3348
Female-65 years and older,34518
Female-55-64 years,12699
Female-45-54 years,6579
Female-20-44 years,11552
Female-Less than 20 years,3706
"Black or African American, non-Hispanic",656
"American Indian or Alaska Native, non-Hispanic",1556
"Asian or Pacific Islander, non-Hispanic",1670
Hispanic or Latino,9337
Unknown,19017
Other Race,19083
"White, non-Hispanic",77913
