Category,Navajo
Total_doses_administered,121604
Total_people_one_dose,55668
Total_people_complete,47437
total_pouluation,55668
Male-65 years and older,7787
Male-55-64 years,3928
Male-45-54 years,3013
Male-20-44 years,6859
Male-Less than 20 years,5481
Female-65 years and older,8823
Female-55-64 years,4452
Female-45-54 years,3043
Female-20-44 years,6719
Female-Less than 20 years,5524
"Black or African American, non-Hispanic",231
"Asian or Pacific Islander, non-Hispanic",420
Unknown,2611
Hispanic or Latino,2846
Other Race,6536
"White, non-Hispanic",16694
"American Indian or Alaska Native, non-Hispanic",26330
