Category,Maricopa
Total_doses_administered,6351830
Total_people_one_dose,2844074
Total_people_complete,2508713
total_pouluation,2844074
Male-65 years and older,300084
Male-55-64 years,198093
Male-45-54 years,193935
Male-20-44 years,469673
Male-Less than 20 years,179637
Female-65 years and older,374275
Female-55-64 years,221954
Female-45-54 years,209520
Female-20-44 years,501780
Female-Less than 20 years,180887
"American Indian or Alaska Native, non-Hispanic",56013
"Black or African American, non-Hispanic",112971
"Asian or Pacific Islander, non-Hispanic",145195
Unknown,192885
Other Race,446031
Hispanic or Latino,502087
"White, non-Hispanic",1388892
