Category,Gila
Total_doses_administered,61467
Total_people_one_dose,27402
Total_people_complete,24091
total_pouluation,27402
Male-65 years and older,6000
Male-55-64 years,2264
Male-45-54 years,1297
Male-20-44 years,2604
Male-Less than 20 years,947
Female-65 years and older,6374
Female-55-64 years,2665
Female-45-54 years,1447
Female-20-44 years,2761
Female-Less than 20 years,988
"Black or African American, non-Hispanic",99
"Asian or Pacific Islander, non-Hispanic",226
Hispanic or Latino,1604
"American Indian or Alaska Native, non-Hispanic",2992
Other Race,4421
Unknown,4522
"White, non-Hispanic",13538
