Category,Pinal
Total_doses_administered,545137
Total_people_one_dose,249742
Total_people_complete,220141
total_pouluation,249742
Male-65 years and older,39297
Male-55-64 years,17538
Male-45-54 years,15377
Male-20-44 years,37108
Male-Less than 20 years,13004
Female-65 years and older,44815
Female-55-64 years,20067
Female-45-54 years,15661
Female-20-44 years,33389
Female-Less than 20 years,12874
"Asian or Pacific Islander, non-Hispanic",4994
"Black or African American, non-Hispanic",9312
"American Indian or Alaska Native, non-Hispanic",10712
Other Race,29680
Unknown,30215
Hispanic or Latino,42628
"White, non-Hispanic",122201
