Category,Graham
Total_doses_administered,42823
Total_people_one_dose,19284
Total_people_complete,17228
total_pouluation,19284
Male-65 years and older,2002
Male-55-64 years,1366
Male-45-54 years,1318
Male-20-44 years,3274
Male-Less than 20 years,1313
Female-65 years and older,2482
Female-55-64 years,1514
Female-45-54 years,1248
Female-20-44 years,3318
Female-Less than 20 years,1438
"Asian or Pacific Islander, non-Hispanic",67
"Black or African American, non-Hispanic",84
Other Race,868
Hispanic or Latino,2874
Unknown,3823
"White, non-Hispanic",5698
"American Indian or Alaska Native, non-Hispanic",5870
