Category,Santa Cruz
Total_doses_administered,49163
Total_people_one_dose,28185
Total_people_complete,22417
Total_doses_ordered,47140
total_pouluation,53161
Male-65 years and older,3371
Male-55-64 years,2285
Male-45-54 years,2430
Male-20-44 years,4965
Male-Less than 20 years,695
Female-65 years and older,4119
Female-55-64 years,2375
Female-45-54 years,2430
Female-20-44 years,4663
Female-Less than 20 years,781
"American Indian or Alaska Native, non-Hispanic",0.0003902785169416
"Black or African American, non-Hispanic",0.0006741174383537
"Asian or Pacific Islander, non-Hispanic",0.0025545502927089
Other Race,0.0370054993791024
Unknown,0.0810005321979777
"White, non-Hispanic",0.1374135178286323
Hispanic or Latino,0.7409615043462836
