Category,Greenlee
Total_doses_administered,7963
Total_people_one_dose,4514
Total_people_complete,3948
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,521
Male-55-64 years,568
Male-45-54 years,462
Male-20-44 years,926
Male-Less than 20 years,39
Female-65 years and older,509
Female-55-64 years,399
Female-45-54 years,357
Female-20-44 years,689
Female-Less than 20 years,42
"Black or African American, non-Hispanic",0.0093043863535667
"Asian or Pacific Islander, non-Hispanic",0.0099689853788214
"American Indian or Alaska Native, non-Hispanic",0.0159503766061143
Other Race,0.0179441736818786
Unknown,0.0939299955693398
"White, non-Hispanic",0.4100575985821888
Hispanic or Latino,0.4428444838280904
