,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5431712,1528321,16436,91926,125678,45330,17267,7963,15642,2035468,119205,45227,731795,229243,49163,162733,156669
Total_people_one_dose,3085000,836282,9348,53018,68859,25219,9602,4514,8744,1210170,70064,26514,417800,133729,28185,93933,89019
Total_people_complete,2550867,,,,,,,,,,,,,,,,
Total_doses_ordered,5121400,,,,,,,,,,,,,,,,
65 years and older,588291,,,,,,,,,,,,,,,,
55-64 years,301839,,,,,,,,,,,,,,,,
45-54 years,228057,,,,,,,,,,,,,,,,
20-44 years,483390,,,,,,,,,,,,,,,,
Less than 20 years,56792,,,,,,,,,,,,,,,,
65 years and older,89019,,,,,,,,,,,,,,,,
55-64 years,253904,,,,,,,,,,,,,,,,
45-54 years,200826,,,,,,,,,,,,,,,,
20-44 years,438924,,,,,,,,,,,,,,,,
Less than 20 years,49197,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",71174,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",74233,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",114823,,,,,,,,,,,,,,,,
Hispanic or Latino,408281,,,,,,,,,,,,,,,,
Unknown,418927,,,,,,,,,,,,,,,,
Other Race,522398,,,,,,,,,,,,,,,,
"White, non-Hispanic",1475164,,,,,,,,,,,,,,,,
