Category,Yuma
Total_doses_administered,118596
Total_people_one_dose,76544
Total_people_complete,45870
Total_doses_ordered,105930
total_pouluation,229957
Male-65 years and older,13631
Male-55-64 years,6325
Male-45-54 years,4970
Male-20-44 years,12142
Male-Less than 20 years,587
Female-65 years and older,15518
Female-55-64 years,6866
Female-45-54 years,5181
Female-20-44 years,10394
Female-Less than 20 years,729
"American Indian or Alaska Native, non-Hispanic",0.0010843436454849
"Black or African American, non-Hispanic",0.002965614548495
"Asian or Pacific Islander, non-Hispanic",0.0046770484949833
Other Race,0.0765572742474916
"White, non-Hispanic",0.1708951714046823
Hispanic or Latino,0.3657765468227425
Unknown,0.3780440008361204
