,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4326494,1226300,15036,73922,110103,37302,13620,7707,13322,1584210,90350,39704,596341,181997,36058,136793,118596
Total_people_one_dose,2656696,758908,8738,46995,64122,22117,8327,4400,8124,991673,59304,24334,369494,113004,23278,83469,76544
Total_people_complete,1812090,,,,,,,,,,,,,,,,
Total_doses_ordered,3967370,,,,,,,,,,,,,,,,
65 years and older,557063,,,,,,,,,,,,,,,,
55-64 years,271028,,,,,,,,,,,,,,,,
45-54 years,188745,,,,,,,,,,,,,,,,
20-44 years,393187,,,,,,,,,,,,,,,,
Less than 20 years,39038,,,,,,,,,,,,,,,,
65 years and older,369494,,,,,,,,,,,,,,,,
55-64 years,222297,,,,,,,,,,,,,,,,
45-54 years,159184,,,,,,,,,,,,,,,,
20-44 years,336553,,,,,,,,,,,,,,,,
Less than 20 years,32928,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",56698,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",64220,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",94066,,,,,,,,,,,,,,,,
Hispanic or Latino,319311,,,,,,,,,,,,,,,,
Unknown,366893,,,,,,,,,,,,,,,,
Other Race,461769,,,,,,,,,,,,,,,,
"White, non-Hispanic",1293739,,,,,,,,,,,,,,,,
