Category,Navajo
Total_doses_administered,39704
Total_people_one_dose,24334
Total_people_complete,17434
Total_doses_ordered,36100
total_pouluation,112825
Male-65 years and older,5103
Male-55-64 years,2242
Male-45-54 years,1417
Male-20-44 years,2380
Male-Less than 20 years,631
Female-65 years and older,5492
Female-55-64 years,2575
Female-45-54 years,1532
Female-20-44 years,2256
Female-Less than 20 years,683
"Black or African American, non-Hispanic",0.0051779403304019
"Asian or Pacific Islander, non-Hispanic",0.0085888057861428
Hispanic or Latino,0.0505465603682091
Unknown,0.0898331552560204
"American Indian or Alaska Native, non-Hispanic",0.2045697378154023
Other Race,0.2189118106353251
"White, non-Hispanic",0.4223719898084984
