,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4167194,1186375,14626,70450,107464,36650,13162,7562,12528,1524067,85303,38473,572029,174944,33553,132706,112604
Total_people_one_dose,2590931,747385,8554,45644,63334,21804,8089,4289,8029,959947,56404,24023,360655,108460,22496,82050,73924
Total_people_complete,1721077,,,,,,,,,,,,,,,,
Total_doses_ordered,3967370,,,,,,,,,,,,,,,,
65 years and older,551965,,,,,,,,,,,,,,,,
55-64 years,266207,,,,,,,,,,,,,,,,
45-54 years,182835,,,,,,,,,,,,,,,,
20-44 years,380641,,,,,,,,,,,,,,,,
Less than 20 years,36748,,,,,,,,,,,,,,,,
65 years and older,8029,,,,,,,,,,,,,,,,
55-64 years,217543,,,,,,,,,,,,,,,,
45-54 years,152389,,,,,,,,,,,,,,,,
20-44 years,319072,,,,,,,,,,,,,,,,
Less than 20 years,30893,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",54727,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",63162,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",91296,,,,,,,,,,,,,,,,
Hispanic or Latino,305648,,,,,,,,,,,,,,,,
Unknown,353689,,,,,,,,,,,,,,,,
Other Race,453843,,,,,,,,,,,,,,,,
"White, non-Hispanic",1268566,,,,,,,,,,,,,,,,
