Category,Greenlee
Total_doses_administered,8254
Total_people_one_dose,4665
Total_people_complete,4168
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,538
Male-55-64 years,582
Male-45-54 years,481
Male-20-44 years,979
Male-Less than 20 years,44
Female-65 years and older,516
Female-55-64 years,402
Female-45-54 years,360
Female-20-44 years,718
Female-Less than 20 years,43
"Black or African American, non-Hispanic",0.0092175777063237
"Asian or Pacific Islander, non-Hispanic",0.0102893890675241
"American Indian or Alaska Native, non-Hispanic",0.0177920685959271
Other Race,0.0270096463022508
Unknown,0.0782422293676313
"White, non-Hispanic",0.414790996784566
Hispanic or Latino,0.4426580921757771
