Category,Apache
Total_doses_administered,22378
Total_people_one_dose,12535
Total_people_complete,10645
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1685
Male-55-64 years,886
Male-45-54 years,571
Male-20-44 years,1035
Male-Less than 20 years,1968
Female-65 years and older,1720
Female-55-64 years,1001
Female-45-54 years,616
Female-20-44 years,976
Female-Less than 20 years,2068
"Asian or Pacific Islander, non-Hispanic",0.0116473873155166
"Black or African American, non-Hispanic",0.0173115277223773
Unknown,0.0741124850418827
Other Race,0.0742720382927802
Hispanic or Latino,0.1147187873952932
"White, non-Hispanic",0.2322297566812924
"American Indian or Alaska Native, non-Hispanic",0.4757080175508576
