Category,Graham
Total_doses_administered,37585
Total_people_one_dose,19606
Total_people_complete,17295
total_pouluation,19606
Male-65 years and older,2326
Male-55-64 years,1537
Male-45-54 years,1382
Male-20-44 years,3373
Male-Less than 20 years,837
Female-65 years and older,2797
Female-55-64 years,1670
Female-45-54 years,1355
Female-20-44 years,3383
Female-Less than 20 years,934
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",90
Other Race,1534
Hispanic or Latino,3429
Unknown,4195
"American Indian or Alaska Native, non-Hispanic",4714
"White, non-Hispanic",5564
