Category,Coconino
Total_doses_administered,167932
Total_people_one_dose,86642
Total_people_complete,77300
total_pouluation,86642
Male-65 years and older,8935
Male-55-64 years,6054
Male-45-54 years,5512
Male-20-44 years,16154
Male-Less than 20 years,4172
Female-65 years and older,10139
Female-55-64 years,6859
Female-45-54 years,5657
Female-20-44 years,18426
Female-Less than 20 years,4478
"Black or African American, non-Hispanic",662
"Asian or Pacific Islander, non-Hispanic",1392
Hispanic or Latino,6244
Other Race,10529
Unknown,15365
"American Indian or Alaska Native, non-Hispanic",18886
"White, non-Hispanic",33564
