Category,Santa Cruz
Total_doses_administered,85099
Total_people_one_dose,45878
Total_people_complete,41238
total_pouluation,45878
Male-65 years and older,4374
Male-55-64 years,3028
Male-45-54 years,3144
Male-20-44 years,8441
Male-Less than 20 years,3222
Female-65 years and older,5274
Female-55-64 years,3280
Female-45-54 years,3333
Female-20-44 years,8388
Female-Less than 20 years,3340
"Black or African American, non-Hispanic",46
"American Indian or Alaska Native, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",168
Unknown,2883
Other Race,3119
"White, non-Hispanic",6701
Hispanic or Latino,32914
