Category,La Paz
Total_doses_administered,15179
Total_people_one_dose,8126
Total_people_complete,7076
total_pouluation,8126
Male-65 years and older,2247
Male-55-64 years,581
Male-45-54 years,302
Male-20-44 years,604
Male-Less than 20 years,247
Female-65 years and older,2296
Female-55-64 years,686
Female-45-54 years,355
Female-20-44 years,539
Female-Less than 20 years,253
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",367
Other Race,1171
Hispanic or Latino,1172
Unknown,1887
"White, non-Hispanic",3412
