Category,Arizona
Total_doses_administered,8169884
Total_people_complete,365916
total_pouluation,7189020
Total_people_one_dose,4238223
Male-65 years and older,530350
Male-55-64 years,310640
Male-45-54 years,279927
Male-20-44 years,686271
Male-Less than 20 years,188456
Female-65 years and older,651027
Female-55-64 years,354686
Female-45-54 years,302912
Female-20-44 years,717556
Female-Less than 20 years,196865
"Black or African American, non-Hispanic",120101
"Asian or Pacific Islander, non-Hispanic",153595
"American Indian or Alaska Native, non-Hispanic",159576
Unknown,471046
Other Race,681577
Hispanic or Latino,750491
"White, non-Hispanic",1901837
