Category,Yuma
Total_doses_administered,255530
Total_people_one_dose,136976
Total_people_complete,117607
total_pouluation,136976
Male-65 years and older,14773
Male-55-64 years,9658
Male-45-54 years,8639
Male-20-44 years,25648
Male-Less than 20 years,7946
Female-65 years and older,17291
Female-55-64 years,10320
Female-45-54 years,9496
Female-20-44 years,24273
Female-Less than 20 years,8478
"Black or African American, non-Hispanic",683
"American Indian or Alaska Native, non-Hispanic",1040
"Asian or Pacific Islander, non-Hispanic",1042
Other Race,15044
"White, non-Hispanic",27901
Unknown,30557
Hispanic or Latino,60709
