Category,Navajo
Total_doses_administered,81481
Total_people_one_dose,43666
Total_people_complete,35940
total_pouluation,43666
Male-65 years and older,6865
Male-55-64 years,3362
Male-45-54 years,2462
Male-20-44 years,5283
Male-Less than 20 years,3171
Female-65 years and older,7768
Female-55-64 years,3832
Female-45-54 years,2451
Female-20-44 years,5103
Female-Less than 20 years,3335
"Black or African American, non-Hispanic",182
"Asian or Pacific Islander, non-Hispanic",355
Hispanic or Latino,2233
Unknown,2619
Other Race,7882
"White, non-Hispanic",13545
"American Indian or Alaska Native, non-Hispanic",16850
