Category,Mohave
Total_doses_administered,154769
Total_people_one_dose,83711
Total_people_complete,70390
total_pouluation,83711
Male-65 years and older,19297
Male-55-64 years,7766
Male-45-54 years,4010
Male-20-44 years,6924
Male-Less than 20 years,1444
Female-65 years and older,21785
Female-55-64 years,9142
Female-45-54 years,4541
Female-20-44 years,6998
Female-Less than 20 years,1631
"Black or African American, non-Hispanic",518
"American Indian or Alaska Native, non-Hispanic",632
"Asian or Pacific Islander, non-Hispanic",1187
Hispanic or Latino,6434
Unknown,13247
Other Race,14981
"White, non-Hispanic",46712
