Category,Greenlee
Total_doses_administered,7815
Total_people_one_dose,4073
Total_people_complete,3546
total_pouluation,4073
Male-65 years and older,495
Male-55-64 years,372
Male-45-54 years,312
Male-20-44 years,760
Male-Less than 20 years,142
Female-65 years and older,495
Female-55-64 years,315
Female-45-54 years,315
Female-20-44 years,718
Female-Less than 20 years,147
"Black or African American, non-Hispanic",41
"Asian or Pacific Islander, non-Hispanic",41
"American Indian or Alaska Native, non-Hispanic",100
Other Race,109
Unknown,310
"White, non-Hispanic",1654
Hispanic or Latino,1818
