Category,Greenlee
Total_doses_administered,9493
Total_people_one_dose,4406
Total_people_complete,3794
total_pouluation,4406
Male-65 years and older,516
Male-55-64 years,373
Male-45-54 years,329
Male-20-44 years,795
Male-Less than 20 years,230
Female-65 years and older,517
Female-55-64 years,319
Female-45-54 years,328
Female-20-44 years,763
Female-Less than 20 years,234
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",53
Other Race,90
"American Indian or Alaska Native, non-Hispanic",122
Unknown,315
"White, non-Hispanic",1792
Hispanic or Latino,1991
