Category,Santa Cruz
Total_doses_administered,110132
Total_people_one_dose,56821
Total_people_complete,44734
total_pouluation,56821
Male-65 years and older,4748
Male-55-64 years,3291
Male-45-54 years,3454
Male-20-44 years,9130
Male-Less than 20 years,6542
Female-65 years and older,5747
Female-55-64 years,3620
Female-45-54 years,3753
Female-20-44 years,9554
Female-Less than 20 years,6897
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",58
"Asian or Pacific Islander, non-Hispanic",187
Other Race,3535
Unknown,3895
"White, non-Hispanic",7611
Hispanic or Latino,41478
