Category,Apache
Total_doses_administered,61602
Total_people_one_dose,29564
Total_people_complete,22746
total_pouluation,29564
Male-65 years and older,2803
Male-55-64 years,2045
Male-45-54 years,1642
Male-20-44 years,3917
Male-Less than 20 years,4059
Female-65 years and older,3369
Female-55-64 years,2195
Female-45-54 years,1606
Female-20-44 years,3790
Female-Less than 20 years,4130
"Black or African American, non-Hispanic",60
"Asian or Pacific Islander, non-Hispanic",136
Hispanic or Latino,574
Unknown,1130
Other Race,1149
"White, non-Hispanic",3670
"American Indian or Alaska Native, non-Hispanic",22845
