Category,La Paz
Total_doses_administered,18152
Total_people_one_dose,9001
Total_people_complete,7543
total_pouluation,9001
Male-65 years and older,2437
Male-55-64 years,617
Male-45-54 years,327
Male-20-44 years,683
Male-Less than 20 years,371
Female-65 years and older,2454
Female-55-64 years,742
Female-45-54 years,377
Female-20-44 years,601
Female-Less than 20 years,373
"Black or African American, non-Hispanic",39
"Asian or Pacific Islander, non-Hispanic",90
"American Indian or Alaska Native, non-Hispanic",535
Other Race,1188
Hispanic or Latino,1345
Unknown,1851
"White, non-Hispanic",3953
