Category,Arizona
Total_doses_administered,9756649
Total_people_complete,3947797
total_pouluation,7189020
Total_people_one_dose,4678592
Male-65 years and older,570174
Male-55-64 years,331672
Male-45-54 years,299257
Male-20-44 years,744179
Male-Less than 20 years,268417
Female-65 years and older,693058
Female-55-64 years,376974
Female-45-54 years,322116
Female-20-44 years,777768
Female-Less than 20 years,275002
"Black or African American, non-Hispanic",141461
"Asian or Pacific Islander, non-Hispanic",178791
"American Indian or Alaska Native, non-Hispanic",200941
Unknown,427516
Other Race,669379
Hispanic or Latino,872760
"White, non-Hispanic",2187744
