Category,Maricopa
Total_doses_administered,5646528
Total_people_one_dose,2663122
Total_people_complete,2309565
total_pouluation,2663122
Male-65 years and older,286963
Male-55-64 years,189542
Male-45-54 years,183964
Male-20-44 years,440906
Male-Less than 20 years,150865
Female-65 years and older,358325
Female-55-64 years,213045
Female-45-54 years,199279
Female-20-44 years,471916
Female-Less than 20 years,153832
"American Indian or Alaska Native, non-Hispanic",52162
"Black or African American, non-Hispanic",103300
"Asian or Pacific Islander, non-Hispanic",135117
Unknown,179507
Other Race,429279
Hispanic or Latino,449263
"White, non-Hispanic",1314494
