Category,Coconino
Total_doses_administered,206534
Total_people_one_dose,95249
Total_people_complete,81955
total_pouluation,95249
Male-65 years and older,9456
Male-55-64 years,6391
Male-45-54 years,5837
Male-20-44 years,17260
Male-Less than 20 years,6242
Female-65 years and older,10644
Female-55-64 years,7148
Female-45-54 years,5892
Female-20-44 years,19647
Female-Less than 20 years,6459
"Black or African American, non-Hispanic",789
"Asian or Pacific Islander, non-Hispanic",1654
Hispanic or Latino,7243
Other Race,8702
Unknown,12616
"American Indian or Alaska Native, non-Hispanic",22785
"White, non-Hispanic",41460
