Category,Navajo
Total_doses_administered,100534
Total_people_one_dose,49363
Total_people_complete,40606
total_pouluation,49363
Male-65 years and older,7361
Male-55-64 years,3590
Male-45-54 years,2726
Male-20-44 years,5844
Male-Less than 20 years,4405
Female-65 years and older,8292
Female-55-64 years,4120
Female-45-54 years,2724
Female-20-44 years,5731
Female-Less than 20 years,4533
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",362
Unknown,2340
Hispanic or Latino,2513
Other Race,6337
"White, non-Hispanic",16087
"American Indian or Alaska Native, non-Hispanic",21519
