Category,Yavapai
Total_doses_administered,248554
Total_people_one_dose,117985
Total_people_complete,99203
total_pouluation,117985
Male-65 years and older,26016
Male-55-64 years,9240
Male-45-54 years,5095
Male-20-44 years,10304
Male-Less than 20 years,2977
Female-65 years and older,31677
Female-55-64 years,11656
Female-45-54 years,6047
Female-20-44 years,10566
Female-Less than 20 years,3256
"Black or African American, non-Hispanic",572
"American Indian or Alaska Native, non-Hispanic",1439
"Asian or Pacific Islander, non-Hispanic",1454
Hispanic or Latino,8199
Other Race,17322
Unknown,18809
"White, non-Hispanic",70190
