Category,La Paz
Total_doses_administered,18448
Total_people_one_dose,10172
Total_people_complete,9067
Total_doses_ordered,19400
total_pouluation,22085
Male-65 years and older,3199
Male-55-64 years,710
Male-45-54 years,349
Male-20-44 years,614
Male-Less than 20 years,195
Female-65 years and older,3096
Female-55-64 years,869
Female-45-54 years,373
Female-20-44 years,531
Female-Less than 20 years,210
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",78
"American Indian or Alaska Native, non-Hispanic",250
Hispanic or Latino,1159
Other Race,1162
Unknown,2715
"White, non-Hispanic",4772
