Category,Mohave
Total_doses_administered,165628
Total_people_one_dose,94236
Total_people_complete,78984
Total_doses_ordered,136460
total_pouluation,216985
Male-65 years and older,22260
Male-55-64 years,8805
Male-45-54 years,4631
Male-20-44 years,7884
Male-Less than 20 years,1532
Female-65 years and older,24798
Female-55-64 years,10229
Female-45-54 years,4934
Female-20-44 years,7354
Female-Less than 20 years,1644
"Black or African American, non-Hispanic",675
"American Indian or Alaska Native, non-Hispanic",988
"Asian or Pacific Islander, non-Hispanic",1365
Hispanic or Latino,6899
Unknown,16072
Other Race,16369
"White, non-Hispanic",51868
