Category,Apache
Total_doses_administered,34996
Total_people_one_dose,19527
Total_people_complete,13130
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2010
Male-55-64 years,1362
Male-45-54 years,1081
Male-20-44 years,2659
Male-Less than 20 years,2594
Female-65 years and older,2129
Female-55-64 years,1488
Female-45-54 years,1081
Female-20-44 years,2462
Female-Less than 20 years,2651
"Asian or Pacific Islander, non-Hispanic",174
"Black or African American, non-Hispanic",300
Unknown,1066
Other Race,1331
Hispanic or Latino,1983
"White, non-Hispanic",3406
"American Indian or Alaska Native, non-Hispanic",11267
