Category,Gila
Total_doses_administered,56071
Total_people_one_dose,30427
Total_people_complete,27085
Total_doses_ordered,38260
total_pouluation,55159
Male-65 years and older,6016
Male-55-64 years,2699
Male-45-54 years,1692
Male-20-44 years,3403
Male-Less than 20 years,859
Female-65 years and older,6378
Female-55-64 years,3008
Female-45-54 years,1782
Female-20-44 years,3557
Female-Less than 20 years,971
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1411
Other Race,5023
Unknown,5563
"American Indian or Alaska Native, non-Hispanic",6252
"White, non-Hispanic",11817
