Category,Graham
Total_doses_administered,23786
Total_people_one_dose,13263
Total_people_complete,11773
Total_doses_ordered,21720
total_pouluation,38476
Male-65 years and older,1717
Male-55-64 years,1049
Male-45-54 years,948
Male-20-44 years,2293
Male-Less than 20 years,500
Female-65 years and older,2172
Female-55-64 years,1206
Female-45-54 years,871
Female-20-44 years,1918
Female-Less than 20 years,578
"Asian or Pacific Islander, non-Hispanic",68
"Black or African American, non-Hispanic",79
Other Race,1008
"American Indian or Alaska Native, non-Hispanic",1127
Hispanic or Latino,2199
Unknown,4176
"White, non-Hispanic",4606
