Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7654829,34996,157100,127050,23786,9535,56071,18448,3310665,165628,81039,336871,1003238,73724,198967,229947
Total_people_complete,3682685,13130,77315,62545,11773,4626,27085,9067,1633123,78984,38596,171043,497239,36922,95578,109907
Total_doses_ordered,5410140,18600,109804,94300,21720,12550,38260,19400,1701453,136460,44540,202212,634806,49512,174846,153008
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,4162161,19527,86193,70917,13263,5454,30427,10172,1875035,94236,45474,191945,559771,40933,113504,129044
Male-65 years and older,535377,2010,8083,10969,1717,575,6016,3199,191454,22260,7179,30720,75044,3671,24593,16279
Male-55-64 years,308369,1362,6193,5315,1049,632,2699,710,133712,8805,3724,14381,38055,2687,8807,9166
Male-45-54 years,273371,1081,5616,3937,948,556,1692,349,135408,4631,2674,13649,33461,3153,5207,8189
Male-20-44 years,659013,2659,17206,10376,2293,1196,3403,614,321580,7884,5676,32787,84208,8082,10349,24584
Male-Less than 20 years,176931,2594,3435,2971,500,127,859,195,90760,1532,3231,6573,23262,2805,2248,6247
Female-65 years and older,658957,2129,9171,12996,2172,544,6378,3096,246748,24798,7885,35225,98571,4450,30653,18390
Female-55-64 years,354207,1488,6900,6399,1206,428,3008,869,153739,10229,3978,15256,46839,2721,11236,9603
Female-45-54 years,297990,1081,5740,4512,871,400,1782,373,149133,4934,2656,12206,39032,2981,6082,8421
Female-20-44 years,693345,2462,19665,10338,1918,880,3557,531,347546,7354,5060,24030,95775,7488,10516,21153
Female-Less than 20 years,184928,2651,4093,3012,578,113,971,210,93048,1644,3375,6522,24554,2825,2499,6596
"Black or African American, non-Hispanic",116245,300,647,1358,79,50,100,36,73730,675,235,5634,11262,36,636,787
"American Indian or Alaska Native, non-Hispanic",125171,11267,18047,342,1127,105,6252,250,40753,988,16071,9252,12012,18,1179,1689
"Asian or Pacific Islander, non-Hispanic",153965,174,1309,1340,68,51,261,78,85127,1365,429,3439,14077,101,1493,784
Unknown,445912,1066,17170,9528,4176,511,5563,2715,184349,16072,2379,38374,84831,2390,27811,34167
Other Race,695283,1331,9904,10752,1008,151,5023,1162,286072,16369,8565,20679,71335,2077,17452,11562
Hispanic or Latino,719912,1983,6349,17336,2199,2376,1411,1159,350458,6899,2379,30947,135448,31372,7372,56757
"White, non-Hispanic",1905673,3406,32767,30261,4606,2210,11817,4772,854546,51868,15416,83620,230806,4939,57561,23298
