Category,Yavapai
Total_doses_administered,198967
Total_people_one_dose,113504
Total_people_complete,95578
Total_doses_ordered,174846
total_pouluation,232386
Male-65 years and older,24593
Male-55-64 years,8807
Male-45-54 years,5207
Male-20-44 years,10349
Male-Less than 20 years,2248
Female-65 years and older,30653
Female-55-64 years,11236
Female-45-54 years,6082
Female-20-44 years,10516
Female-Less than 20 years,2499
"Black or African American, non-Hispanic",636
"American Indian or Alaska Native, non-Hispanic",1179
"Asian or Pacific Islander, non-Hispanic",1493
Hispanic or Latino,7372
Other Race,17452
Unknown,27811
"White, non-Hispanic",57561
