Category,Arizona
Total_doses_administered,7654829
Total_people_complete,3682685
Total_doses_ordered,5410140
total_pouluation,7189020
Total_people_one_dose,4162161
Male-65 years and older,535377
Male-55-64 years,308369
Male-45-54 years,273371
Male-20-44 years,659013
Male-Less than 20 years,176931
Female-65 years and older,658957
Female-55-64 years,354207
Female-45-54 years,297990
Female-20-44 years,693345
Female-Less than 20 years,184928
"Black or African American, non-Hispanic",116245
"American Indian or Alaska Native, non-Hispanic",125171
"Asian or Pacific Islander, non-Hispanic",153965
Unknown,445912
Other Race,695283
Hispanic or Latino,719912
"White, non-Hispanic",1905673
