Category,Navajo
Total_doses_administered,81039
Total_people_one_dose,45474
Total_people_complete,38596
Total_doses_ordered,44540
total_pouluation,112825
Male-65 years and older,7179
Male-55-64 years,3724
Male-45-54 years,2674
Male-20-44 years,5676
Male-Less than 20 years,3231
Female-65 years and older,7885
Female-55-64 years,3978
Female-45-54 years,2656
Female-20-44 years,5060
Female-Less than 20 years,3375
"Black or African American, non-Hispanic",235
"Asian or Pacific Islander, non-Hispanic",429
Unknown,2379
Hispanic or Latino,2379
Other Race,8565
"White, non-Hispanic",15416
"American Indian or Alaska Native, non-Hispanic",16071
