Category,Santa Cruz
Total_doses_administered,73724
Total_people_one_dose,40933
Total_people_complete,36922
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3671
Male-55-64 years,2687
Male-45-54 years,3153
Male-20-44 years,8082
Male-Less than 20 years,2805
Female-65 years and older,4450
Female-55-64 years,2721
Female-45-54 years,2981
Female-20-44 years,7488
Female-Less than 20 years,2825
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",101
Other Race,2077
Unknown,2390
"White, non-Hispanic",4939
Hispanic or Latino,31372
