Category,La Paz
Total_doses_administered,17183
Total_people_one_dose,9390
Total_people_complete,8497
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3091
Male-55-64 years,676
Male-45-54 years,303
Male-20-44 years,476
Male-Less than 20 years,117
Female-65 years and older,2985
Female-55-64 years,832
Female-45-54 years,337
Female-20-44 years,435
Female-Less than 20 years,124
"Black or African American, non-Hispanic",26
"Asian or Pacific Islander, non-Hispanic",69
"American Indian or Alaska Native, non-Hispanic",169
Hispanic or Latino,952
Other Race,1066
Unknown,2564
"White, non-Hispanic",4544
