Category,Navajo
Total_doses_administered,61598
Total_people_one_dose,34712
Total_people_complete,30373
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6142
Male-55-64 years,2796
Male-45-54 years,1923
Male-20-44 years,3893
Male-Less than 20 years,2467
Female-65 years and older,6610
Female-55-64 years,3094
Female-45-54 years,1962
Female-20-44 years,3222
Female-Less than 20 years,2571
"Black or African American, non-Hispanic",195
"Asian or Pacific Islander, non-Hispanic",356
Unknown,1829
Hispanic or Latino,1964
Other Race,7542
"American Indian or Alaska Native, non-Hispanic",9514
"White, non-Hispanic",13312
