Category,Mohave
Total_doses_administered,147372
Total_people_one_dose,84187
Total_people_complete,70715
Total_doses_ordered,124750
total_pouluation,216985
Male-65 years and older,20874
Male-55-64 years,7964
Male-45-54 years,3964
Male-20-44 years,6451
Male-Less than 20 years,930
Female-65 years and older,23268
Female-55-64 years,9360
Female-45-54 years,4194
Female-20-44 years,5952
Female-Less than 20 years,1081
"Black or African American, non-Hispanic",566
"American Indian or Alaska Native, non-Hispanic",834
"Asian or Pacific Islander, non-Hispanic",1215
Hispanic or Latino,5554
Unknown,14421
Other Race,15331
"White, non-Hispanic",46266
