Category,Gila
Total_doses_administered,49901
Total_people_one_dose,27635
Total_people_complete,24880
Total_doses_ordered,36470
total_pouluation,55159
Male-65 years and older,5746
Male-55-64 years,2540
Male-45-54 years,1527
Male-20-44 years,2932
Male-Less than 20 years,542
Female-65 years and older,6099
Female-55-64 years,2854
Female-45-54 years,1641
Female-20-44 years,3048
Female-Less than 20 years,646
"Black or African American, non-Hispanic",92
"Asian or Pacific Islander, non-Hispanic",250
Hispanic or Latino,1211
Other Race,4673
Unknown,5220
"American Indian or Alaska Native, non-Hispanic",5271
"White, non-Hispanic",10918
