Category,Coconino
Total_doses_administered,144625
Total_people_one_dose,78905
Total_people_complete,71939
Total_doses_ordered,95930
total_pouluation,147275
Male-65 years and older,7505
Male-55-64 years,5846
Male-45-54 years,5184
Male-20-44 years,15572
Male-Less than 20 years,2629
Female-65 years and older,8588
Female-55-64 years,6592
Female-45-54 years,5407
Female-20-44 years,18113
Female-Less than 20 years,3394
"Black or African American, non-Hispanic",555
"Asian or Pacific Islander, non-Hispanic",1168
Hispanic or Latino,5277
Other Race,9194
"American Indian or Alaska Native, non-Hispanic",16246
Unknown,16559
"White, non-Hispanic",29906
